s,mean_a_qopt,mean_a_hot,mean_a_klopt,mean_a_best_fixed,mean_a_maxj,median_hot_defect_recovery,mean_gap_improvement_over_hot,median_gap_improvement_over_hot,fraction_hot_absent_q_near,fraction_q_kl_disjoint,mean_gap_qopt,mean_gap_hot,mean_gap_klopt,mean_gap_best_fixed
1.25,0.996511316043,0.98227648792,0.983333210701,0.993569636331,0.97565304406,0.742236798663,-0.0679386310207,-0.0486630731214,0.4,1,0.16634994015,0.0984113091297,0.091364026599,0.120172634715
1.275,0.996893149148,0.98340844679,0.984204788648,0.994232531742,0.977284759751,0.743182528519,-0.0611820182045,-0.043569903735,0.3,1,0.149401150183,0.0882191319783,0.081864065134,0.107775747369
1.3,0.997231925223,0.984425356308,0.984985201519,0.994827120154,0.978752569694,0.74402449979,-0.0550769135634,-0.038996442414,0.3,1,0.134140094944,0.0790631813811,0.0733370614124,0.0966334873543
1.325,0.997532720842,0.985338746894,0.985683964055,0.99536043066,0.980072465185,0.74477426875,-0.0495646090772,-0.0348923890408,0.2,1,0.120406893826,0.0708422847487,0.0656866587488,0.0866241521684
1.35,0.997799976076,0.986159022241,0.98630960455,0.995838769663,0.981258968313,0.745442073526,-0.0445908568927,-0.0312117521977,0.2,1,0.108055128123,0.0634642712306,0.058825344026,0.0776367337521
1.375,0.998037580491,0.986895564669,0.986869765533,0.996267795543,0.982325249797,0.746036990266,-0.0401057049042,-0.0279125977862,0.1,1,0.0969510602371,0.0568453553328,0.0526737837204,0.0695702141638
1.4,0.998248946608,0.98755683135,0.987371294541,0.996652585425,0.983283240625,0.746567069591,-0.0360632961092,-0.024956785205,0.1,1,0.0869728176602,0.050909521551,0.0471601772849,0.062332854425
1.425,0.99843707276,0.988150442103,0.987820325849,0.996997694912,0.984143737161,0.747039455866,-0.0324216445591,-0.0223096993902,0.1,1,0.0780095661414,0.0455879215824,0.042219635878,0.0558414920346
1.45,0.998604596986,0.988683259379,0.988222354015,0.997307211598,0.984916499534,0.747460492294,-0.0291423979919,-0.0199399850116,0.1,1,0.0699606904994,0.0408182925075,0.0377935918946,0.0500208585431
1.475,0.998753843348,0.98916146111,0.988582300029,0.997584803055,0.985610343348,0.747835813879,-0.0261905949638,-0.0178192874712,0.1,1,0.0627349967281,0.0365444017644,0.0338292427274,0.0448029252431
1.5,0.998886861789,0.989590606904,0.988904570724,0.997833759855,0.986233224724,0.748170427153,-0.0235344224185,-0.0159220040123,0.1,1,0.0562499451175,0.032715522699,0.0302790306158,0.0401262823806
