instance_id,width,optimizer,success,first_success,minimum_gap,final_gap,gradient_evaluations,projection_displacement,initialization,seed
ct_w3_i2,3,diagonal_fisher,False,-1,1.0000000028114684,1.0000000028114684,399,0.0,target_biased,19
ct_w3_i2,3,exact_natural,True,8,0.052195513210826,0.052195513210826,17,0.0,target_biased,19
ct_w3_i2,3,projected_adam,False,-1,2.2588772691690675,2.2588772691690675,200,0.0,target_biased,19
ct_w3_i2,3,ray_projected,False,-1,0.2145173805795117,0.2145173805795117,200,1.987147605537191,target_biased,19
ct_w3_i2,3,target_direction,False,-1,0.8520382420086641,0.8520382420086641,200,0.0,target_biased,19
ct_w3_i2,3,adam,True,39,0.0992855901741833,0.0992855901741833,40,0.0,target_biased,42
ct_w3_i2,3,armijo_gd,True,5,0.0924129042971007,0.0924129042971007,11,0.0,target_biased,42
ct_w3_i2,3,diagonal_fisher,True,3,0.0156498007614835,0.0156498007614835,7,0.0,target_biased,42
ct_w3_i2,3,exact_natural,True,5,0.0766621682310439,0.0766621682310439,11,0.0,target_biased,42
ct_w3_i2,3,projected_adam,False,-1,2.5350774186293563,2.5350774186293563,200,0.0,target_biased,42
ct_w3_i2,3,ray_projected,False,-1,0.21146839355257,0.21146839355257,200,1.7781545158154777,target_biased,42
ct_w3_i2,3,target_direction,False,-1,0.1998129671286008,0.1998129671286008,200,0.0,target_biased,42
ct_w3_i2,3,adam,True,39,0.0968989328582914,0.0968989328582914,40,0.0,target_biased,50
ct_w3_i2,3,armijo_gd,True,6,0.0864322940728534,0.0864322940728534,13,0.0,target_biased,50
ct_w3_i2,3,diagonal_fisher,True,4,0.0043864035609946,0.0043864035609946,9,0.0,target_biased,50
ct_w3_i2,3,exact_natural,True,6,0.0651848308198843,0.0651848308198843,13,0.0,target_biased,50
ct_w3_i2,3,projected_adam,False,-1,1.9786801045238285,1.9786801045238285,200,0.0,target_biased,50
ct_w3_i2,3,ray_projected,False,-1,0.2092380302280396,0.2092380302280396,200,2.0673245783878142,target_biased,50
ct_w3_i2,3,target_direction,False,-1,0.395411784606626,0.395411784606626,200,0.0,target_biased,50
ct_w3_i2,3,adam,False,-1,1.0090837851871068,1.0090837851871068,200,0.0,target_biased,101
ct_w3_i2,3,armijo_gd,False,-1,1.0027061220170417,1.0027061220170417,399,0.0,target_biased,101
ct_w3_i2,3,diagonal_fisher,False,-1,1.0000000027269262,1.0000000027269262,399,0.0,target_biased,101
ct_w3_i2,3,exact_natural,True,8,0.0424613450569886,0.0424613450569886,17,0.0,target_biased,101
ct_w3_i2,3,projected_adam,False,-1,2.7031277039374157,2.7031277039374157,200,0.0,target_biased,101
ct_w3_i2,3,ray_projected,False,-1,0.2217972010833868,0.2217972010833868,200,2.476105279016456,target_biased,101
ct_w3_i2,3,target_direction,False,-1,0.8604099363014264,0.8604099363014264,200,0.0,target_biased,101
ct_w3_i3,3,adam,False,-1,1.0070716362930965,1.0070716362930965,200,0.0,target_biased,0
ct_w3_i3,3,armijo_gd,False,-1,1.00264301240464,1.00264301240464,399,0.0,target_biased,0
ct_w3_i3,3,diagonal_fisher,False,-1,1.0000000026648603,1.0000000026648603,399,0.0,target_biased,0
ct_w3_i3,3,exact_natural,True,6,0.0835637192905327,0.0835637192905327,13,0.0,target_biased,0
ct_w3_i3,3,projected_adam,False,-1,1.5300732154875778,1.5300732154875778,200,0.0,target_biased,0
ct_w3_i3,3,ray_projected,False,-1,0.2033331073315931,0.2033331073315931,200,1.9834002240579465,target_biased,0
ct_w3_i3,3,target_direction,False,-1,0.4192003530702024,0.4192003530702024,200,0.0,target_biased,0
ct_w3_i3,3,adam,False,-1,1.0086112000369631,1.0086112000369631,200,0.0,target_biased,19
ct_w3_i3,3,armijo_gd,False,-1,1.0025592241838464,1.0025592241838464,399,0.0,target_biased,19
ct_w3_i3,3,diagonal_fisher,False,-1,1.0000000026131612,1.0000000026131612,399,0.0,target_biased,19
ct_w3_i3,3,exact_natural,True,6,0.0785983816120765,0.0785983816120765,13,0.0,target_biased,19
ct_w3_i3,3,projected_adam,False,-1,2.1356162247736084,2.1356162247736084,200,0.0,target_biased,19
