instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_trap_candidate
ct_w5_i5,5,evaluation,width3,256,0,independent_full_fisher,46,1,17.0,0.0751331493372902,0.23189063489857858,17,4352,0.6503326253005467,0.6220740493624137,44,0.0751331493372902,0.950204662021416,0.950204662021416,0.0,0,1,0.05268044587474522,0.22717797938578216,,-1,0
ct_w5_i5,5,evaluation,width3,256,19,independent_full_fisher,46,0,,1.0000260379081567,0.17718802385374122,199,50944,0.5672114376392688,0.5429137493626317,43,1.0000260379081567,1.0646459076978854e-15,0.9990680123285435,1.0,4,1,1.0402513317035118e-05,5.8708896294378276e-05,361561468607.9848,38,1
ct_w5_i5,5,evaluation,width3,256,42,independent_full_fisher,46,1,21.0,0.07970156976749188,0.2934184246111206,21,5376,0.6017726220707237,0.5947118082323588,45,0.07970156976749188,0.930283240753881,0.930283240753881,0.0,0,1,0.07530448394240967,0.25664538292785727,,-1,0
ct_w5_i5,5,evaluation,width3,256,50,independent_full_fisher,46,1,17.0,0.06525231090483885,0.1942516871492727,17,4352,0.6881075512189919,0.6938092024272587,43,0.06525231090483885,0.9439989045997936,0.9439989045997936,0.0,0,1,0.04304884407347444,0.22161374609011017,,-1,0
ct_w5_i5,5,evaluation,width3,256,101,independent_full_fisher,46,0,,1.0001092942199694,0.3359218777728264,199,50944,0.4836580072835336,0.43249034511411144,44,1.0001092942199694,1.8645400855817294e-16,0.32267149294334835,1.0,7,1,5.16716798982566e-05,0.00015382052589382273,,-1,0
ct_w5_i5,5,evaluation,width3,1024,0,independent_full_fisher,46,1,11.0,0.073142127140013,0.23189063489857858,11,11264,0.7719683819837966,0.7628573035464078,46,0.073142127140013,0.9373797854574263,0.9373797854574263,0.0,0,1,0.06784729358631242,0.29258315505491034,,-1,0
ct_w5_i5,5,evaluation,width3,1024,19,independent_full_fisher,46,1,19.0,0.046023689555607206,0.17718802385374122,19,19456,0.919235231654349,0.8883247116794257,46,0.046023689555607206,0.961683121740018,0.961683121740018,0.0,0,1,0.04500713667331683,0.25400778051719625,,-1,0
ct_w5_i5,5,evaluation,width3,1024,42,independent_full_fisher,46,0,,1.0000902342183107,0.2934184246111206,199,203776,0.650989430528071,0.6347009986634082,46,1.0000902342183107,2.5270962711946456e-26,0.3356640029993545,1.0,8,1,4.0146376036740386e-05,0.0001368229554430606,,-1,0
ct_w5_i5,5,evaluation,width3,1024,50,independent_full_fisher,46,1,9.0,0.04846342265430259,0.1942516871492727,9,9216,0.8108289910721119,0.7690086833462534,46,0.04846342265430259,0.9556228596889021,0.9556228596889021,0.0,0,1,0.03249829164692354,0.16729991962412263,,-1,0
ct_w5_i5,5,evaluation,width3,1024,101,independent_full_fisher,46,0,,1.0000470689531227,0.3359218777728264,199,203776,0.872047704994221,0.873113803538637,46,1.0000470689531227,5.128606109146596e-27,0.7063353641438451,1.0,9,1,2.0763307076547168e-05,6.180992799340313e-05,,-1,0
